item_id,barcode,name,pack_size,retail_price,tp_price,cost_price,quantity,rack_location,company_name,generic_name,category_name
2412,2412,NEW SITARA HEAT POWER,1,69.0,60.0,60.0,0,,,,OTHER
5215,5215,NEW STATE 50ML DROPS,1,69.0,60.0,60.0,11,,,,DROPS
4156,4156,NEWCAM INJ,1,42.55,37.0,37.0,0,,,,INJECTION
3642,3642,NEXADRON INJ,1,126.5,110.0,110.0,0,,,,INJECTION
4363,4363,NEZKIL 100MG SYP,1,474.72,412.8,412.8,1,,,,SYRUP
4364,4364,NEZKIL 200MG SYP,1,0.0,0.0,0.0,0,,,,SYRUP
4009,4009,NEZKIL 400MG TAB,1,962.88,837.29,837.29,1,,,,TABLET
3923,3923,NEZKIL 600MG TAB,1,1557.67,1354.5,1354.5,1,,,,TABLET
4678,4678,NG TUBE 16,1,40.25,35.0,35.0,2,,,,OTHER
4564,4564,NIBOVO 5MG TAB,1,345.92,300.8,300.8,0,,,,TABLET
3948,3948,NICOTRIM 60ML SYP,1,84.49,73.47,73.47,0,,,,SYRUP
3804,3804,NIDA 100ML INF,1,32.2,28.0,28.0,0,,,,OTHER
5266,5266,NIDO 150G,1,488.75,425.0,425.0,3,,,,OTHER
5297,5297,NIGHT RIDER,1,172.5,150.0,150.0,0,,,,OTHER
4699,4699,NIGLYS SR TAB,1,103.03,89.59,89.59,0,,,,TABLET
3885,3885,NIMESOTA 100MG TAB,1,29.9,26.0,26.0,0,,,,TABLET
3921,3921,NIMS 100MG TAB,1,370.87,322.5,322.5,2,,,,TABLET
5119,5119,NIMSWEL 100MG TAB,1,18.97,16.5,16.5,0,,,,TABLET
5129,5129,NIMUSIL 100MG TAB,1,23.0,20.0,20.0,0,,,,TABLET
2833,2833,NIMZINE 10MG TAB,1,8.62,7.5,7.5,0,,,,TABLET
3437,3437,NIRLAM 0.5MG TAB,1,40.25,35.0,35.0,0,,,,TABLET
2053,2053,NIZAM 0.5MG TAB,1,97.75,85.0,85.0,0,,,,TABLET
2815,2815,NL 33,1,1043.05,907.0,907.0,0,,,,OTHER
4378,4378,NO ALL 60ML SYP,1,32.2,28.0,28.0,0,,,,SYRUP
2839,2839,NO.1 CREAM,1,189.75,165.0,165.0,0,,,,CREAM
2661,2661,NOACIP 500MG TAB,1,56.35,49.0,49.0,0,,,,TABLET
3071,3071,NOAFLAM 100MG TAB,1,31.05,27.0,27.0,0,,,,TABLET
3070,3070,NOAFLAM 50MG TAB,1,16.1,14.0,14.0,0,,,,TABLET
621,621,NOFLU SYP,1,0.0,0.0,0.0,0,,,,SYRUP
3455,3455,NOMIZIL 20MG SACHETS,1,12.65,11.0,11.0,95,,,,SACHET
3787,3787,NORBAC 1GM INJ,1,137.76,119.79,119.79,25,,,,INJECTION
770,770,NORBAC 250MG INJ,1,75.14,65.34,65.34,0,,,,INJECTION
772,772,NORBAC 500MG INJ,1,93.36,81.18,81.18,0,,,,INJECTION
2852,2852,NORMEEZ 3MG TAB,1,72.45,63.0,63.0,0,,,,TABLET
5048,5048,NORMEEZ 3MG TAB,1,37.57,32.67,32.67,0,,,,TABLET
3933,3933,NORVASIC 5 MG TAB,1,460.71,400.62,400.62,0,,,,TABLET
3574,3574,NOTOCAIN 150MG TAB,1,27.6,24.0,24.0,0,,,,TABLET
3133,3133,NOVADIXINE 250MG SYP,1,63.25,55.0,55.0,0,,,,SYRUP
5368,5368,NOVAFAR 5ML INJ,1,34.5,30.0,30.0,21,,,,INJECTION
3670,3670,NOVATRAL INJ,1,3.91,3.4,3.4,0,,,,INJECTION
5168,5168,NOVEZOL 100ML INFUSION,1,60.95,53.0,53.0,0,,,,INJECTION
3503,3503,NOVIDAT 100ML INF,1,283.47,246.5,246.5,0,,,,OTHER
2898,2898,NOVIDAT 250MG SYP,1,276.14,240.12,240.12,0,,,,SYRUP
4696,4696,NOVODYL SYP,1,63.25,55.0,55.0,0,,,,SYRUP
2985,2985,NOVOTEPH 20MG CAP,1,263.43,229.07,229.07,1,,,,CAPSULE
4348,4348,NOVOTEPH 40MG CAP,1,474.18,412.33,412.33,1,,,,CAPSULE
3402,3402,NSIDE 100MG TAB,1,28.75,25.0,25.0,0,,,,TABLET
3013,3013,NUBEROL TAB,1,81.42,70.8,70.8,19,,,,TABLET
3962,3962,NUBEX TAB,1,23.0,20.0,20.0,0,,,,TABLET
3149,3149,NUFACE LOVELY CREAM,1,51.75,45.0,45.0,0,,,,CREAM
5002,5002,NUMECOMIN TAB,1,126.5,110.0,110.0,0,,,,TABLET
4373,4373,NYMSEL 100MG TAB,1,102.64,89.25,89.25,0,,,,TABLET
2779,2779,OBFAM 40MG TAB,1,20.7,18.0,18.0,0,,,,TABLET
2584,2584,OBMECOMIN 500MCG TAB,1,143.75,125.0,125.0,0,,,,TABLET
4446,4446,OBPROFEN 90ML SYP,1,50.6,44.0,44.0,0,,,,SYRUP
2882,2882,OBSODINE 10MG TAB,1,12.65,11.0,11.0,0,,,,TABLET
2666,2666,OBSOZOLE 20MG CAP,1,155.25,135.0,135.0,0,,,,CAPSULE
3460,3460,OCECLAF 500MG INJ,1,39.1,34.0,34.0,0,,,,INJECTION
5189,5189,OCTA 50MG TAB,1,109.25,95.0,95.0,0,,,,TABLET
4543,4543,OCUMOX EYE DROPS,1,337.82,293.76,293.76,0,,,,DROPS
